article,Academy of Management Journal,Academy of Management Review,Administrative Science Quarterly,Information Systems Research,Journal of Accounting and Economics,Journal of Accounting Research,Journal of Consumer Research,Journal of Finance,Journal of Financial Economics,Journal of International Business Studies,Journal of Marketing,Journal of Marketing Research,Journal of Operations Management,INFORMS Journal on Computing,Management Science,Manufacturing and Service Operations Management,Marketing Science,MIS Quarterly,Operations Research,Organization Science,Production and Operations Management,Strategic Management Journal,The Accounting Review,The Review of Financial Studies,Decision Support Systems,Information and Management,Journal of Management Information Systems,Econometrica,American Economic Review,MIS Quart.,Management Sci.,Inform. Systems Res.,J. Management Inform. Systems,Organ. Sci.,Acad. Management Rev.,Acad. Management J.,Admin. Sci. Quart.,Marketing Sci.,J. Marketing Res.,J. Marketing
A COMPREHENSIVE ANALYSIS OF TRIGGERS AND RISK FACTORS FOR ASTHMA BASED ON MACHINE LEARNING AND LARGE HETEROGENEOUS DATA SOURCES,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A DATA ANALYTICS FRAMEWORK FOR SMART ASTHMA MANAGEMENT BASED ON REMOTE HEALTH INFORMATION SYSTEMS WITH BLUETOOTHENABLED PERSONAL INHALERS,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A LONGITUDINAL STUDY OF UNAUTHORIZED ACCESS ATTEMPTS ON INFORMATION SYSTEMS THE ROLE OF OPPORTUNITY CONTEXTS,1,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,30,1,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
A POTATO SALAD WITH A LEMON TWIST USING A SUPPLY-SIDE SHOCK TO STUDY THE IMPACT OF OPPORTUNISTIC BEHAVIOR ON CROWDFUNDING PLATFORMS,0,0,1,7,0,0,1,1,0,0,3,0,0,0,10,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A TIME-BASED DYNAMIC SYNCHRONIZATION POLICY FOR CONSOLIDATED DATABASE SYSTEMS,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,16,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADOPTION OF IDENTITY THEFT COUNTERMEASURES AND ITS SHORT- AND LONG-TERM IMPACT ON FIRM VALUE,1,0,0,18,0,0,1,4,4,0,3,1,0,0,2,0,0,47,2,1,0,1,0,0,10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
ADOPTION OF SUSTAINABLE TECHNOLOGIES A MIXED-METHODS STUDY OF GERMAN HOUSEHOLDS,0,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,1,47,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AN FMRI EXPLORATION OF INFORMATION PROCESSING IN ELECTRONIC NETWORKS OF PRACTICE,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSESSING THE DESIGN CHOICES FOR ONLINE RECOMMENDATION AGENTS FOR OLDER ADULTS OLDER DOES NOT ALWAYS MEAN SIMPLER INFORMATION TECHNOLOGY,0,0,0,3,0,0,1,0,0,0,2,2,0,0,1,0,2,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN OUTSOURCING OF INFORMATION TECHNOLOGY FOSTER INNOVATIONS IN CLIENT ORGANIZATIONS AN EMPIRICAL ANALYSIS,1,3,4,6,0,0,0,0,0,0,1,1,0,0,6,0,1,14,0,5,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
